type	latency	desc	latencyEEG	latencylastEMGpoint
SB_Start_Beep	2543387.895484	3_1_62	2543.362000	2543.387500
SB_Start_Beep	2581957.950974	1_3_63	2581.932000	2581.957500
SB_Start_Beep	2622568.009393	3_1_64	2622.542000	2622.568000
SB_Start_Beep	2655154.056274	1_6_65	2655.128000	2655.154000
SB_Start_Beep	2695422.114207	6_3_66	2695.396000	2695.422000
SB_Start_Beep	2728640.161997	3_1_67	2728.614000	2728.640000
SB_Start_Beep	2765862.215548	1_6_68	2765.836000	2765.862000
SB_Start_Beep	2808296.276597	6_6_69	2808.270000	2808.296000
SB_Start_Beep	2948376.478128	6_1_70	2948.350000	2948.376000
SB_Start_Beep	2981114.525221	1_3_71	2981.088000	2981.114500
SB_Start_Beep	3014180.572793	3_3_72	3014.154000	3014.180500
SB_Start_Beep	3046942.619927	3_1_73	3046.916000	3046.942500
SB_Start_Beep	3081710.669947	1_6_74	3081.684000	3081.710500
SB_Start_Beep	3115018.717867	6_3_75	3114.992000	3115.018500
SB_Start_Beep	3155374.775927	3_6_76	3155.348000	3155.374500
SB_Start_Beep	3189174.824554	6_1_77	3189.148000	3189.174500
SB_Start_Beep	3222942.873136	1_6_78	3222.916000	3222.942500
SB_Start_Beep	3267570.937342	6_3_79	3267.544000	3267.570500
SB_Start_Beep	3300332.984476	3_1_80	3300.306000	3300.332500
SB_Start_Beep	3343155.046077	1_1_81	3343.128000	3343.155000
SB_Start_Beep	3381347.101023	1_3_82	3381.320000	3381.347000
SB_Start_Beep	3417533.153083	3_6_83	3417.506000	3417.533000
SB_Start_Beep	3455021.207017	6_6_84	3454.994000	3455.021000
SB_Start_Beep	3491139.258979	6_1_85	3491.112000	3491.139000
SB_Start_Beep	3528415.312608	1_3_86	3528.388000	3528.415000
SB_Start_Beep	3566175.366933	3_1_87	3566.148000	3566.175000
SB_Start_Beep	3619713.443957	1_6_88	3619.686000	3619.713000
SB_Start_Beep	3655461.495387	6_3_89	3655.434000	3655.461000
SB_Start_Beep	3691283.546917	3_1_90	3691.256000	3691.283500
SB_Start_Beep	3731525.604813	1_3_91	3731.498000	3731.525500
SB_Start_Beep	3767651.656787	3_6_92	3767.624000	3767.651500
SB_Start_Beep	3803073.707748	6_1_93	3803.046000	3803.073500
SB_Start_Beep	3841617.763201	1_3_94	3841.590000	3841.617500
SB_Start_Beep	3875475.811912	3_6_95	3875.448000	3875.475500
SB_Start_Beep	4139857.279197	6_1_96	4139.790000	4139.857000
SB_Start_Beep	4172679.117923	1_6_97	4172.612000	4172.679000
SB_Start_Beep	4210860.930320	6_3_98	4210.794000	4210.860500
SB_Start_Beep	4243578.769557	3_6_99	4243.512000	4243.578500
SB_Start_Beep	4277860.601110	6_1_100	4277.794000	4277.860500
SB_Start_Beep	4310746.439529	1_3_101	4310.680000	4310.746000
SB_Start_Beep	4345782.267377	3_3_102	4345.716000	4345.782000
SB_Start_Beep	4384146.078873	3_6_103	4384.080000	4384.146000
SB_Start_Beep	4416825.918304	6_1_104	4416.760000	4416.825500
SB_Start_Beep	4450827.751233	1_6_105	4450.762000	4450.827500
SB_Start_Beep	4487623.570433	6_1_106	4487.558000	4487.623500
SB_Start_Beep	4520387.409451	1_3_107	4520.322000	4520.387000
SB_Start_Beep	4554559.241544	3_1_108	4554.494000	4554.559000
SB_Start_Beep	4591937.057885	1_3_109	4591.872000	4591.937000
SB_Start_Beep	4631018.865859	3_6_110	4630.954000	4631.018500
SB_Start_Beep	4664280.702424	6_3_111	4664.216000	4664.280500
SB_Start_Beep	4699408.529820	3_1_112	4699.344000	4699.408500
SB_Start_Beep	4733656.361547	1_6_113	4733.592000	4733.656000
SB_Start_Beep	4769460.185621	6_3_114	4769.396000	4769.460000
SB_Start_Beep	4828761.894243	3_6_115	4828.698000	4828.761500
SB_Start_Beep	4861627.732753	6_1_116	4861.564000	4861.627500
SB_Start_Beep	4895353.567038	1_3_117	4895.290000	4895.353500
SB_Start_Beep	4936225.366217	3_6_118	4936.162000	4936.225000
SB_Start_Beep	4969125.204561	6_1_119	4969.062000	4969.125000
SB_Start_Beep	5003993.033234	1_6_120	5003.930000	5003.993000
SB_Start_Beep	5038310.864617	6_1_121	5038.248000	5038.310500
SB_Start_Beep	5074014.689183	1_3_122	5073.952000	5074.014500
SB_Start_Beep	5107588.524214	3_6_123	5107.526000	5107.588500
SB_Start_Beep	5141604.357081	6_1_124	5141.542000	5141.604000
SB_Start_Beep	5179268.172016	1_3_125	5179.206000	5179.268000
SB_Start_Beep	5216767.987764	3_1_126	5216.706000	5216.767500
SB_Start_Beep	5295947.598707	1_3_127	5295.886000	5295.947500
SB_Start_Beep	5330155.430630	3_6_128	5330.094000	5330.155000
SB_Start_Beep	5365425.257328	6_3_129	5365.364000	5365.425000
SB_Start_Beep	5402787.073747	3_6_130	5402.726000	5402.787000
SB_Start_Beep	5436950.905887	6_1_131	5436.890000	5436.950500
SB_Start_Beep	5471968.733823	1_3_132	5471.908000	5471.968500
SB_Start_Beep	5505906.567066	3_6_133	5505.846000	5505.906500
SB_Start_Beep	5538938.404768	6_1_134	5538.878000	5538.938000
SB_Start_Beep	5572456.240074	1_6_135	5572.396000	5572.456000
SB_Start_Beep	5608146.064709	6_1_136	5608.086000	5608.146000
SB_Start_Beep	5649803.860026	1_3_137	5649.744000	5649.803500
SB_Start_Beep	5683457.694665	3_1_138	5683.398000	5683.457500
SB_Start_Beep	5719939.515408	1_6_139	5719.880000	5719.939500
SB_Start_Beep	5759431.321367	6_3_140	5759.372000	5759.431000
SB_Start_Beep	5863939.549874	3_1_141	5863.880000	5863.939500
SB_Start_Beep	5897193.388384	1_6_142	5897.134000	5897.193000
SB_Start_Beep	5929591.231044	6_3_143	5929.532000	5929.591000
SB_Start_Beep	5962759.069965	3_3_144	5962.700000	5962.759000
SB_Start_Beep	5997162.902890	3_1_145	5997.104000	5997.162500
SB_Start_Beep	6029492.745881	1_6_146	6029.434000	6029.492500
SB_Start_Beep	6063634.580072	6_6_147	6063.576000	6063.634500
SB_Start_Beep	6096396.420971	6_1_148	6096.338000	6096.396000
SB_Start_Beep	6131190.251995	1_3_149	6131.132000	6131.190000
SB_Start_Beep	6165546.085147	3_6_150	6165.488000	6165.546000
SB_Start_Beep	6200737.914245	6_1_151	6200.680000	6200.737500
SB_Start_Beep	6234337.751068	1_3_152	6234.280000	6234.337500
SB_Start_Beep	6267167.591630	3_1_153	6267.110000	6267.167500
SB_Start_Beep	6301035.427158	1_3_154	6300.978000	6301.035000
SB_Start_Beep	6337737.248917	3_6_155	6337.680000	6337.737000
SB_Start_Beep	6370153.091490	6_3_156	6370.096000	6370.153000
SB_Start_Beep	6407006.912516	3_6_157	6406.950000	6407.006500
SB_Start_Beep	6447920.713819	6_1_158	6447.864000	6447.920500
SB_Start_Beep	6489130.513684	1_3_159	6489.074000	6489.130500
SB_Start_Beep	6522504.351612	3_1_160	6522.448000	6522.504000
SB_Start_Beep	6555340.192145	1_6_161	6555.284000	6555.340000
SB_Start_Beep	6587664.035165	6_6_162	6587.608000	6587.664000
SB_Start_Beep	6624103.858202	6_1_163	6624.048000	6624.103500
SB_Start_Beep	6660171.683039	1_3_164	6660.116000	6660.171500
SB_Start_Beep	6693863.519415	3_3_165	6693.808000	6693.863500
SB_Start_Beep	6727313.356973	3_6_166	6727.258000	6727.313000
SB_Start_Beep	6765183.173059	6_1_167	6765.128000	6765.183000
PC_Pressure_Change	34488.753151	0_3_1	34.498000	34.488500
PC_Pressure_Change	76946.535371	3_6_2	76.956000	76.946500
PC_Pressure_Change	112378.353636	6_1_3	112.388000	112.378000
PC_Pressure_Change	150214.159563	1_6_4	150.224000	150.214000
PC_Pressure_Change	185499.978577	6_3_5	185.510000	185.499500
PC_Pressure_Change	223151.785448	3_1_6	223.162000	223.151500
PC_Pressure_Change	282663.480199	1_3_7	282.674000	282.663000
PC_Pressure_Change	352165.123702	3_1_8	352.176000	352.165000
PC_Pressure_Change	384676.956944	1_6_9	384.688000	384.676500
PC_Pressure_Change	417476.788703	6_3_10	417.488000	417.476500
PC_Pressure_Change	450852.617507	3_1_11	450.864000	450.852500
PC_Pressure_Change	484152.446707	1_6_12	484.164000	484.152000
PC_Pressure_Change	519098.267458	6_1_13	519.110000	519.098000
PC_Pressure_Change	555070.082947	1_3_14	555.082000	555.070000
PC_Pressure_Change	588743.910229	3_6_15	588.756000	588.743500
PC_Pressure_Change	631743.689669	6_1_16	631.756000	631.743500
PC_Pressure_Change	667515.506183	1_6_17	667.528000	667.515500
PC_Pressure_Change	707283.302207	6_3_18	707.296000	707.283000
PC_Pressure_Change	741927.124507	3_6_19	741.940000	741.927000
PC_Pressure_Change	780208.928153	6_3_20	780.222000	780.208500
PC_Pressure_Change	822118.713184	3_1_21	822.132000	822.118500
PC_Pressure_Change	860570.515952	1_1_22	860.584000	860.570500
PC_Pressure_Change	895814.335181	1_6_23	895.828000	895.814000
PC_Pressure_Change	935838.129885	6_3_24	935.852000	935.838000
PC_Pressure_Change	969913.955105	3_6_25	969.928000	969.913500
PC_Pressure_Change	1008163.758909	6_3_26	1008.178000	1008.163500
PC_Pressure_Change	1041739.586687	3_1_27	1041.754000	1041.739500
PC_Pressure_Change	1075269.414708	1_3_28	1075.284000	1075.269000
PC_Pressure_Change	1108887.242271	3_6_29	1108.902000	1108.887000
PC_Pressure_Change	1144615.059011	6_1_30	1144.630000	1144.615000
PC_Pressure_Change	1191630.817858	1_3_31	1191.646000	1191.630500
PC_Pressure_Change	1226434.639337	3_1_32	1226.450000	1226.434500
PC_Pressure_Change	1263324.450124	1_6_33	1263.340000	1263.324000
PC_Pressure_Change	1304220.240355	6_1_34	1304.236000	1304.220000
PC_Pressure_Change	1337996.067108	1_6_35	1338.012000	1337.996000
PC_Pressure_Change	1371325.896154	6_3_36	1371.342000	1371.325500
PC_Pressure_Change	1404411.726446	3_1_37	1404.428000	1404.411500
PC_Pressure_Change	1442025.533512	1_3_38	1442.042000	1442.025500
PC_Pressure_Change	1476459.356896	3_6_39	1476.476000	1476.459000
PC_Pressure_Change	1514383.162372	6_1_40	1514.400000	1514.383000
PC_Pressure_Change	1548204.988895	1_3_41	1548.222000	1548.204500
PC_Pressure_Change	1589668.776213	3_6_42	1589.686000	1589.668500
PC_Pressure_Change	1626382.587896	6_3_43	1626.400000	1626.382500
PC_Pressure_Change	1659308.419015	3_1_44	1659.326000	1659.308000
PC_Pressure_Change	1692892.246752	1_6_45	1692.910000	1692.892000
PC_Pressure_Change	1729114.060958	6_1_46	1729.132000	1729.114000
PC_Pressure_Change	1767735.862860	1_6_47	1767.754000	1767.735500
PC_Pressure_Change	1806513.663956	6_3_48	1806.532000	1806.513500
PC_Pressure_Change	1841583.484077	3_1_49	1841.602000	1841.583000
PC_Pressure_Change	1875011.312615	1_3_50	1875.030000	1875.011000
PC_Pressure_Change	2147829.326407	3_3_51	2147.804000	2147.829000
PC_Pressure_Change	2181941.375483	3_6_52	2181.916000	2181.941000
PC_Pressure_Change	2215293.423466	6_1_53	2215.268000	2215.293000
PC_Pressure_Change	2253165.477952	1_1_54	2253.140000	2253.165000
PC_Pressure_Change	2289075.529609	1_6_55	2289.050000	2289.075500
PC_Pressure_Change	2322325.577445	6_3_56	2322.300000	2322.325500
PC_Pressure_Change	2360445.632288	3_1_57	2360.420000	2360.445500
PC_Pressure_Change	2397915.686195	1_6_58	2397.890000	2397.915500
PC_Pressure_Change	2433191.736947	6_3_59	2433.166000	2433.191500
PC_Pressure_Change	2469281.788869	3_6_60	2469.256000	2469.281500
PC_Pressure_Change	2504271.839208	6_3_61	2504.246000	2504.271500
PC_Pressure_Change	2541387.892607	3_1_62	2541.362000	2541.387500
PC_Pressure_Change	2579957.948097	1_3_63	2579.932000	2579.957500
PC_Pressure_Change	2620568.006515	3_1_64	2620.542000	2620.568000
PC_Pressure_Change	2653154.053396	1_6_65	2653.128000	2653.154000
PC_Pressure_Change	2693422.111329	6_3_66	2693.396000	2693.422000
PC_Pressure_Change	2726640.159120	3_1_67	2726.614000	2726.640000
PC_Pressure_Change	2763862.212670	1_6_68	2763.836000	2763.862000
PC_Pressure_Change	2806296.273720	6_6_69	2806.270000	2806.296000
PC_Pressure_Change	2946376.475251	6_1_70	2946.350000	2946.376000
PC_Pressure_Change	2979114.522344	1_3_71	2979.088000	2979.114500
PC_Pressure_Change	3012180.569915	3_3_72	3012.154000	3012.180500
PC_Pressure_Change	3044942.617050	3_1_73	3044.916000	3044.942500
PC_Pressure_Change	3079710.667070	1_6_74	3079.684000	3079.710500
PC_Pressure_Change	3113018.714990	6_3_75	3112.992000	3113.018500
PC_Pressure_Change	3153374.773049	3_6_76	3153.348000	3153.374500
PC_Pressure_Change	3187174.821677	6_1_77	3187.148000	3187.174500
PC_Pressure_Change	3220942.870259	1_6_78	3220.916000	3220.942500
PC_Pressure_Change	3265570.934464	6_3_79	3265.544000	3265.570500
PC_Pressure_Change	3298332.981599	3_1_80	3298.306000	3298.332500
PC_Pressure_Change	3341155.043199	1_1_81	3341.128000	3341.155000
PC_Pressure_Change	3379347.098146	1_3_82	3379.320000	3379.347000
PC_Pressure_Change	3415533.150206	3_6_83	3415.506000	3415.533000
PC_Pressure_Change	3453021.204139	6_6_84	3452.994000	3453.021000
PC_Pressure_Change	3489139.256102	6_1_85	3489.112000	3489.139000
PC_Pressure_Change	3526415.309730	1_3_86	3526.388000	3526.415000
PC_Pressure_Change	3564175.364055	3_1_87	3564.148000	3564.175000
PC_Pressure_Change	3617713.441080	1_6_88	3617.686000	3617.713000
PC_Pressure_Change	3653461.492510	6_3_89	3653.434000	3653.461000
PC_Pressure_Change	3689283.544040	3_1_90	3689.256000	3689.283500
PC_Pressure_Change	3729525.601935	1_3_91	3729.498000	3729.525500
PC_Pressure_Change	3765651.653909	3_6_92	3765.624000	3765.651500
PC_Pressure_Change	3801073.704870	6_1_93	3801.046000	3801.073500
PC_Pressure_Change	3839617.760323	1_3_94	3839.590000	3839.617500
PC_Pressure_Change	3873475.809034	3_6_95	3873.448000	3873.475500
PC_Pressure_Change	4137857.289024	6_1_96	4137.790000	4137.857000
PC_Pressure_Change	4170679.127750	1_6_97	4170.612000	4170.679000
PC_Pressure_Change	4208860.940147	6_3_98	4208.794000	4208.860500
PC_Pressure_Change	4241578.779385	3_6_99	4241.512000	4241.578500
PC_Pressure_Change	4275860.610937	6_1_100	4275.794000	4275.860500
PC_Pressure_Change	4308746.449356	1_3_101	4308.680000	4308.746000
PC_Pressure_Change	4343782.277204	3_3_102	4343.716000	4343.782000
PC_Pressure_Change	4382146.088700	3_6_103	4382.080000	4382.146000
PC_Pressure_Change	4414825.928131	6_1_104	4414.760000	4414.825500
PC_Pressure_Change	4448827.761060	1_6_105	4448.762000	4448.827500
PC_Pressure_Change	4485623.580260	6_1_106	4485.558000	4485.623500
PC_Pressure_Change	4518387.419278	1_3_107	4518.322000	4518.387000
PC_Pressure_Change	4552559.251372	3_1_108	4552.494000	4552.559000
PC_Pressure_Change	4589937.067712	1_3_109	4589.872000	4589.937000
PC_Pressure_Change	4629018.875686	3_6_110	4628.954000	4629.018500
PC_Pressure_Change	4662280.712251	6_3_111	4662.216000	4662.280500
PC_Pressure_Change	4697408.539647	3_1_112	4697.344000	4697.408500
PC_Pressure_Change	4731656.371374	1_6_113	4731.592000	4731.656000
PC_Pressure_Change	4767460.195448	6_3_114	4767.396000	4767.460000
PC_Pressure_Change	4826761.904070	3_6_115	4826.698000	4826.761500
PC_Pressure_Change	4859627.742580	6_1_116	4859.564000	4859.627500
PC_Pressure_Change	4893353.576865	1_3_117	4893.290000	4893.353500
PC_Pressure_Change	4934225.376044	3_6_118	4934.162000	4934.225000
PC_Pressure_Change	4967125.214388	6_1_119	4967.062000	4967.125000
PC_Pressure_Change	5001993.043061	1_6_120	5001.930000	5001.993000
PC_Pressure_Change	5036310.874444	6_1_121	5036.248000	5036.310500
PC_Pressure_Change	5072014.699010	1_3_122	5071.952000	5072.014500
PC_Pressure_Change	5105588.534041	3_6_123	5105.526000	5105.588500
PC_Pressure_Change	5139604.366908	6_1_124	5139.542000	5139.604000
PC_Pressure_Change	5177268.181843	1_3_125	5177.206000	5177.268000
PC_Pressure_Change	5214769.997581	3_1_126	5214.708000	5214.769500
PC_Pressure_Change	5293947.608534	1_3_127	5293.886000	5293.947500
PC_Pressure_Change	5328155.440457	3_6_128	5328.094000	5328.155000
PC_Pressure_Change	5363425.267155	6_3_129	5363.364000	5363.425000
PC_Pressure_Change	5400787.083574	3_6_130	5400.726000	5400.787000
PC_Pressure_Change	5434950.915714	6_1_131	5434.890000	5434.950500
PC_Pressure_Change	5469968.743650	1_3_132	5469.908000	5469.968500
PC_Pressure_Change	5503906.576893	3_6_133	5503.846000	5503.906500
PC_Pressure_Change	5536938.414595	6_1_134	5536.878000	5536.938000
PC_Pressure_Change	5570456.249902	1_6_135	5570.396000	5570.456000
PC_Pressure_Change	5606146.074536	6_1_136	5606.086000	5606.146000
PC_Pressure_Change	5647803.869853	1_3_137	5647.744000	5647.803500
PC_Pressure_Change	5681457.704492	3_1_138	5681.398000	5681.457500
PC_Pressure_Change	5717939.525235	1_6_139	5717.880000	5717.939500
PC_Pressure_Change	5757431.331195	6_3_140	5757.372000	5757.431000
PC_Pressure_Change	5861939.559587	3_1_141	5861.880000	5861.939500
PC_Pressure_Change	5895193.398097	1_6_142	5895.134000	5895.193000
PC_Pressure_Change	5927591.240757	6_3_143	5927.532000	5927.591000
PC_Pressure_Change	5960759.079678	3_3_144	5960.700000	5960.759000
PC_Pressure_Change	5995162.912603	3_1_145	5995.104000	5995.162500
PC_Pressure_Change	6027492.755594	1_6_146	6027.434000	6027.492500
PC_Pressure_Change	6061634.589785	6_6_147	6061.576000	6061.634500
PC_Pressure_Change	6094396.430684	6_1_148	6094.338000	6094.396000
PC_Pressure_Change	6129190.261708	1_3_149	6129.132000	6129.190000
PC_Pressure_Change	6163548.094850	3_6_150	6163.490000	6163.548000
PC_Pressure_Change	6198737.923958	6_1_151	6198.680000	6198.737500
PC_Pressure_Change	6232337.760781	1_3_152	6232.280000	6232.337500
PC_Pressure_Change	6265167.601343	3_1_153	6265.110000	6265.167500
PC_Pressure_Change	6299035.436871	1_3_154	6298.978000	6299.035000
PC_Pressure_Change	6335737.258630	3_6_155	6335.680000	6335.737000
PC_Pressure_Change	6368153.101203	6_3_156	6368.096000	6368.153000
PC_Pressure_Change	6405006.922229	3_6_157	6404.950000	6405.006500
PC_Pressure_Change	6445920.723532	6_1_158	6445.864000	6445.920500
PC_Pressure_Change	6487130.523397	1_3_159	6487.074000	6487.130500
PC_Pressure_Change	6520504.361324	3_1_160	6520.448000	6520.504000
PC_Pressure_Change	6553340.201858	1_6_161	6553.284000	6553.340000
PC_Pressure_Change	6585664.044877	6_6_162	6585.608000	6585.664000
PC_Pressure_Change	6622103.867915	6_1_163	6622.048000	6622.103500
PC_Pressure_Change	6658171.692752	1_3_164	6658.116000	6658.171500
PC_Pressure_Change	6691863.529128	3_3_165	6691.808000	6691.863500
PC_Pressure_Change	6725313.366686	3_6_166	6725.258000	6725.313000
PC_Pressure_Change	6763183.182772	6_1_167	6763.128000	6763.183000
SM_Start_Move	36488.742893	0_3_1	36.498000	36.488500
SM_Start_Move	78946.525112	3_6_2	78.956000	78.946500
SM_Start_Move	114376.343387	6_1_3	114.386000	114.376000
SM_Start_Move	152214.149305	1_6_4	152.224000	152.214000
SM_Start_Move	187499.968318	6_3_5	187.510000	187.499500
SM_Start_Move	225151.775189	3_1_6	225.162000	225.151500
SM_Start_Move	284663.469941	1_3_7	284.674000	284.663000
SM_Start_Move	354165.113443	3_1_8	354.176000	354.165000
SM_Start_Move	386676.946686	1_6_9	386.688000	386.676500
SM_Start_Move	419476.778444	6_3_10	419.488000	419.476500
SM_Start_Move	452852.607248	3_1_11	452.864000	452.852500
SM_Start_Move	486152.436449	1_6_12	486.164000	486.152000
SM_Start_Move	521098.257200	6_1_13	521.110000	521.098000
SM_Start_Move	557070.072688	1_3_14	557.082000	557.070000
SM_Start_Move	590743.899970	3_6_15	590.756000	590.743500
SM_Start_Move	633743.679410	6_1_16	633.756000	633.743500
SM_Start_Move	669515.495931	1_6_17	669.528000	669.515000
SM_Start_Move	709283.291948	6_3_18	709.296000	709.283000
SM_Start_Move	743927.114248	3_6_19	743.940000	743.927000
SM_Start_Move	782208.917895	6_3_20	782.222000	782.208500
SM_Start_Move	824118.702925	3_1_21	824.132000	824.118500
SM_Start_Move	862570.505693	1_1_22	862.584000	862.570500
SM_Start_Move	897814.324922	1_6_23	897.828000	897.814000
SM_Start_Move	937838.119627	6_3_24	937.852000	937.838000
SM_Start_Move	971913.944847	3_6_25	971.928000	971.913500
SM_Start_Move	1010163.748651	6_3_26	1010.178000	1010.163500
SM_Start_Move	1043739.576429	3_1_27	1043.754000	1043.739500
SM_Start_Move	1077269.404450	1_3_28	1077.284000	1077.269000
SM_Start_Move	1110887.232012	3_6_29	1110.902000	1110.887000
SM_Start_Move	1146615.048752	6_1_30	1146.630000	1146.615000
SM_Start_Move	1193630.807599	1_3_31	1193.646000	1193.630500
SM_Start_Move	1228432.629089	3_1_32	1228.448000	1228.432500
SM_Start_Move	1265324.439865	1_6_33	1265.340000	1265.324000
SM_Start_Move	1306220.230097	6_1_34	1306.236000	1306.220000
SM_Start_Move	1339996.056849	1_6_35	1340.012000	1339.996000
SM_Start_Move	1373325.885896	6_3_36	1373.342000	1373.325500
SM_Start_Move	1406411.716187	3_1_37	1406.428000	1406.411500
SM_Start_Move	1444025.523253	1_3_38	1444.042000	1444.025500
SM_Start_Move	1478459.346637	3_6_39	1478.476000	1478.459000
SM_Start_Move	1516383.152113	6_1_40	1516.400000	1516.383000
SM_Start_Move	1550204.978636	1_3_41	1550.222000	1550.204500
SM_Start_Move	1591668.765955	3_6_42	1591.686000	1591.668500
SM_Start_Move	1628382.577637	6_3_43	1628.400000	1628.382500
SM_Start_Move	1661308.408756	3_1_44	1661.326000	1661.308000
SM_Start_Move	1694892.236493	1_6_45	1694.910000	1694.892000
SM_Start_Move	1731114.050699	6_1_46	1731.132000	1731.114000
SM_Start_Move	1769735.852601	1_6_47	1769.754000	1769.735500
SM_Start_Move	1808513.653697	6_3_48	1808.532000	1808.513500
SM_Start_Move	1843583.473819	3_1_49	1843.602000	1843.583000
SM_Start_Move	1877011.302356	1_3_50	1877.030000	1877.011000
SM_Start_Move	2149829.329284	3_3_51	2149.804000	2149.829000
SM_Start_Move	2183941.378361	3_6_52	2183.916000	2183.941000
SM_Start_Move	2217293.426344	6_1_53	2217.268000	2217.293000
SM_Start_Move	2255165.480830	1_1_54	2255.140000	2255.165000
SM_Start_Move	2291075.532486	1_6_55	2291.050000	2291.075500
SM_Start_Move	2324325.580322	6_3_56	2324.300000	2324.325500
SM_Start_Move	2362443.635162	3_1_57	2362.418000	2362.443500
SM_Start_Move	2399915.689073	1_6_58	2399.890000	2399.915500
SM_Start_Move	2435191.739824	6_3_59	2435.166000	2435.191500
SM_Start_Move	2471281.791746	3_6_60	2471.256000	2471.281500
SM_Start_Move	2506271.842086	6_3_61	2506.246000	2506.271500
SM_Start_Move	2543387.895484	3_1_62	2543.362000	2543.387500
SM_Start_Move	2581957.950974	1_3_63	2581.932000	2581.957500
SM_Start_Move	2622568.009393	3_1_64	2622.542000	2622.568000
SM_Start_Move	2655154.056274	1_6_65	2655.128000	2655.154000
SM_Start_Move	2695422.114207	6_3_66	2695.396000	2695.422000
SM_Start_Move	2728640.161997	3_1_67	2728.614000	2728.640000
SM_Start_Move	2765862.215548	1_6_68	2765.836000	2765.862000
